title,score_num,watched_num,comment_num,ratio
超星星学园,80294,79169,29403,0.366191745
相爱穿梭千年2：月光下的交换,14477,14305,5788,0.39980659
女心理师,216370,183656,104730,0.484031982
招摇,67845,66663,26867,0.396005601
蓝色生死恋,15681,37134,5704,0.363752312
烈火军校,56491,56632,21121,0.373882565
从前有座灵剑山,84471,83166,37595,0.445063986
天舞纪,24729,23887,10380,0.419750091
骊歌行,37247,35276,19205,0.515611996
1921,164870,237093,72999,0.442767029
千古玦尘,145292,131962,74699,0.514130165
你微笑时很美,412261,388975,213417,0.517674483
尚食,30815,29354,15108,0.490280707
爱的二八定律,134365,121377,60257,0.44845756
下一站是幸福,195545,179648,86061,0.440108415
少主且慢行 第一季,35865,37354,12150,0.338770389
少主且慢行 第二季,24225,25865,6211,0.256388029
刺杀小说家,638705,857645,266347,0.417010983
月光变奏曲,100391,99976,42015,0.418513612
苍兰诀,654762,619339,308054,0.470482404
两个人的小森林,60429,57215,25849,0.427758196
捉妖记2,354460,1060575,110656,0.312181911
哦！我的皇帝陛下 第一季,121391,121971,42929,0.353642362
哦！我的皇帝陛下 第二季,57794,58720,16713,0.289182268
斗破苍穹,113098,108253,49957,0.441714266
陈情令,1688942,1619878,837672,0.495974403
素人特工,38205,67796,12741,0.333490381
诛仙1,650583,805637,340745,0.52375331
庆余年 第一季,991636,1037639,353494,0.356475562
满江红,850254,905234,361853,0.425582238
狼殿下,349964,320638,191608,0.547507744
斗罗大陆,838525,765644,524330,0.625300379
余生，请多指教,298866,272745,170984,0.57210924
有翡,365830,331718,180999,0.494762595
理想照耀中国,40006,38589,15193,0.379768035
风起洛阳,226478,194415,103930,0.45889667
无名,589662,608043,304517,0.51642636
延禧攻略,400471,699720,141515,0.353371405
西游记女儿国,155442,399231,59817,0.384818775
解放·终局营救,11315,26936,4928,0.43552806
三生三世枕上书,342115,323205,153692,0.449240752
最动听的事,12024,12718,3388,0.281769794
烈火如歌,88236,84415,34225,0.38788023
解忧杂货店,191569,525711,62459,0.326039182
21克拉,70182,194209,23244,0.331196033
一千零一夜,106288,106109,39340,0.370126449
幸福，触手可及！,116645,104695,42004,0.360101162
你是我的荣耀,456378,429657,201591,0.441719364
与君初相识·恰似故人归,203726,186760,114204,0.560576461
天雷一部之春花秋月,38877,39025,13652,0.351158783
三千鸦杀,66966,60981,27746,0.41432966
传闻中的陈芊芊,357992,362603,142267,0.397402735
我，喜欢你,85378,84434,32681,0.382780107
长歌行,306447,282314,145693,0.47542642
一不小心捡到爱,20883,20578,7873,0.37700522
国子监来了个女弟子,49219,47804,23084,0.469005872
且试天下,129234,121760,66900,0.51766563
星汉灿烂·月升沧海,525489,489175,239582,0.455922008
胡同,20721,19618,10044,0.484725641
听见她说,33032,31450,12355,0.374031242
暴风眼,61685,57993,32786,0.531506849
斛珠夫人,122840,111826,64038,0.521312276
谢谢你医生,82246,76137,41195,0.500875423
你和我的倾城时光,64523,98088,25471,0.394758458
知否知否应是绿肥红瘦,502344,600988,195688,0.389549791
谁是凶手,203068,196168,83461,0.411000256
风吹半夏,352554,313870,134860,0.382522961
热血同行,73121,67805,34587,0.473010489
冷血狂宴,48066,78213,22188,0.461615279
送你一朵小红花,733763,1075929,277699,0.378458712
中国医生,240447,361464,94612,0.393483803
长津湖,732356,961731,256784,0.350627291
少年的你,1440215,2622333,487115,0.338223807
世间有她,35042,40546,19282,0.550253981
