,title,work_id,score_num,watched_num,comment_num,ratio
0,素人特工,[work_id],38205,67796, 12741,0.33349038084020416
0,诛仙1,[work_id],650583,805637, 340745,0.5237533104922816
0,庆余年 第一季,[work_id],991636,1037639, 353494,0.35647556159719895
0,满江红,[work_id],850254,905234, 361853,0.425582237778358
0,狼殿下,[work_id],349964,320638, 191608,0.547507743653633
0,斗罗大陆,[work_id],838525,765644, 524330,0.6253003786410661
0,余生，请多指教,[work_id],298866,272745, 170984,0.5721092395923256
0,有翡,[work_id],365830,331718, 180999,0.4947625946477872
0,理想照耀中国,[work_id],40006,38589, 15193,0.3797680347947808
0,风起洛阳,[work_id],226478,194415, 103930,0.45889666987521965
0,无名,[work_id],589662,608043, 304517,0.5164263595076501
0,延禧攻略,[work_id],400471,699720, 141515,0.3533714051704118
0,西游记女儿国,[work_id],155442,399231, 59817,0.3848187748484965
0,解放·终局营救,[work_id],11315,26936, 4928,0.43552806009721606
0,三生三世枕上书,[work_id],342115,323205, 153692,0.44924075237858613
0,最动听的事,[work_id],12024,12718, 3388,0.28176979374584166
0,烈火如歌,[work_id],88236,84415, 34225,0.387880230291491
0,解忧杂货店,[work_id],191569,525711, 62459,0.3260391817047643
0,21克拉,[work_id],70182,194209, 23244,0.3311960331708985
0,一千零一夜,[work_id],106288,106109, 39340,0.37012644889357216
0,幸福，触手可及！,[work_id],116645,104695, 42004,0.3601011616443054
0,你是我的荣耀,[work_id],456378,429657, 201591,0.44171936421124597
0,与君初相识·恰似故人归,[work_id],203726,186760, 114204,0.5605764605401372
0,天雷一部之春花秋月,[work_id],38877,39025, 13652,0.3511587828278931
0,三千鸦杀,[work_id],66966,60981, 27746,0.4143296598273751
0,传闻中的陈芊芊,[work_id],357992,362603, 142267,0.39740273525665376
0,我，喜欢你,[work_id],85378,84434, 32681,0.38278010728759165
0,长歌行,[work_id],306447,282314, 145693,0.4754264195766315
0,一不小心捡到爱,[work_id],20883,20578, 7873,0.3770052195565771
0,国子监来了个女弟子,[work_id],49219,47804, 23084,0.46900587171620717
0,且试天下,[work_id],129234,121760, 66900,0.5176656297878267
0,星汉灿烂·月升沧海,[work_id],525489,489175, 239582,0.4559220078821821
0,胡同,[work_id],20721,19618, 10044,0.4847256406544086
0,听见她说,[work_id],33032,31450, 12355,0.3740312424315815
0,暴风眼,[work_id],61685,57993, 32786,0.5315068493150685
0,斛珠夫人,[work_id],122840,111826, 64038,0.5213122761315533
0,谢谢你医生,[work_id],82246,76137, 41195,0.5008754225129489
0,你和我的倾城时光,[work_id],64523,98088, 25471,0.39475845822419914
0,知否知否应是绿肥红瘦,[work_id],502344,600988, 195688,0.38954979058175276
0,谁是凶手,[work_id],203068,196168, 83461,0.4110002560718577
0,风吹半夏,[work_id],352554,313870, 134860,0.382522961021574
0,热血同行,[work_id],73121,67805, 34587,0.47301048946267144
0,冷血狂宴,[work_id],48066,78213, 22188,0.4616152789913868
0,送你一朵小红花,[work_id],733763,1075929, 277699,0.3784587121454748
0,中国医生,[work_id],240447,361464, 94612,0.3934838030834238
0,长津湖,[work_id],732356,961731, 256784,0.35062729055268205
0,少年的你,[work_id],1440215,2622333, 487115,0.3382238068621699
0,世间有她,[work_id],35042,40546, 19282,0.5502539809371612
