,title,rating,score_num,comment_num,ratio,id
0,背靠背，脸对脸,9.5,126970, 40614,0.32,1307856
0,贫民窟的百万富翁,8.6,733335, 106927,0.146,2209573
0,小丑,8.7,984800, 264616,0.269,27119724
0,无间道2,8.7,465554, 71063,0.153,1307106
0,冰川时代,8.6,600586, 58755,0.098,1291578
0,东邪西毒,8.6,566747, 97976,0.173,1292328
0,恐怖游轮,8.5,841386, 180579,0.215,3011051
0,心灵奇旅,8.7,953714, 352090,0.369,24733428
0,真爱至上,8.6,721620, 190071,0.263,1292401
0,牯岭街少年杀人事件,8.9,290596, 77356,0.266,1292329
0,你看起来好像很好吃,8.9,326945, 90541,0.277,4848115
0,遗愿清单,8.7,448650, 96369,0.215,1867345
0,魔女宅急便,8.7,449057, 71186,0.159,1307811
0,东京教父,9.0,221952, 64909,0.292,1310177
0,黑天鹅,8.6,768871, 172897,0.225,1978709
0,大佛普拉斯,8.7,442738, 120675,0.273,27059130
0,可可西里,8.9,297091, 55088,0.185,1308857
0,城市之光,9.3,142383, 30366,0.213,1293908
0,雨人,8.7,396477, 66714,0.168,1291870
0,源代码,8.5,819443, 168299,0.205,3075287
0,恋恋笔记本,8.5,656912, 160316,0.244,1309163
0,海边的曼彻斯特,8.6,520611, 165894,0.319,25980443
0,初恋这件小事,8.5,966496, 233742,0.242,4739952
0,人工智能,8.7,435978, 95644,0.219,1302827
0,虎口脱险,8.9,250907, 48949,0.195,1296909
0,波西米亚狂想曲,8.6,590056, 171949,0.291,5300054
0,青蛇,8.6,512788, 97516,0.19,1303394
0,终结者2：审判日,8.8,335004, 39252,0.117,1291844
0,萤火虫之墓,8.7,399184, 82345,0.206,1293318
0,罗生门,8.8,307385, 71292,0.232,1291879
0,疯狂的麦克斯4：狂暴之路,8.7,515950, 130452,0.253,3592854
0,新龙门客栈,8.7,433672, 66001,0.152,1292287
0,千钧一发,8.8,289694, 76814,0.265,1300117
0,奇迹男孩,8.6,543279, 144989,0.267,26787574
0,无耻混蛋,8.6,464709, 98287,0.212,1438652
0,崖上的波妞,8.6,482102, 97790,0.203,1959877
0,二十二,8.7,287456, 77916,0.271,26430107
0,彗星来的那一夜,8.5,563651, 142218,0.252,25807345
0,末路狂花,8.9,244577, 69107,0.283,1291992
0,黑客帝国2：重装上阵,8.7,398044, 47480,0.119,1304141
0,血钻,8.7,372334, 59686,0.16,1428175
0,房间,8.8,363240, 91443,0.252,25724855
0,爱乐之城,8.4,872885, 284294,0.326,25934014
0,花束般的恋爱,8.6,591441, 235411,0.398,34874432
0,步履不停,8.8,273286, 84171,0.308,2222996
0,战争之王,8.7,360391, 54156,0.15,1419936
0,魂断蓝桥,8.8,272463, 56202,0.206,1293964
0,火星救援,8.5,710613, 160927,0.226,25864085
0,谍影重重2,8.7,344731, 42702,0.124,1308767
0,哈利·波特与死亡圣器(上),8.5,556973, 78487,0.141,2051007
0,千年女优,8.8,259154, 81716,0.315,1307394
0,芙蓉镇,9.3,129357, 40056,0.31,1297880
0,燃情岁月,8.8,281223, 64855,0.231,1295865
0,阿飞正传,8.5,500461, 110841,0.221,1305690
0,弱点,8.7,299175, 68764,0.23,3552028
0,谍影重重,8.6,416388, 62567,0.15,1304102
0,朗读者,8.6,447342, 84881,0.19,2213597
0,再次出发之纽约遇见你,8.6,419527, 119820,0.286,6874403
0,香水,8.5,535299, 118059,0.221,1760622
0,海洋,9.1,154867, 45902,0.296,3443389
0,哈利·波特与凤凰社,8.5,548905, 59637,0.109,1457217
0,穿越时空的少女,8.6,374930, 87307,0.233,1937946
0,地球上的星星,8.9,201329, 51354,0.255,2363506
