title,work_id,score_num,ratio_5s,ratio_4s,ratio_3s,ratio_2s,ratio_1s
尚食,30463682,30823,6.8,14.6,39.0,26.4,13.2
爱的二八定律,35152536,134418,14.5,18.1,32.2,17.6,17.6
下一站是幸福,30176770,195568,9.1,18.2,41.7,21.7,9.2
少主且慢行 第一季,34463312,35878,10.4,26.2,51.4,8.5,3.5
少主且慢行 第二季,34972208,24233,10.4,22.7,55.7,9.7,1.6
刺杀小说家,26826330,638763,6.7,31.9,45.1,13.2,3.2
月光变奏曲,35058573,100453,12.8,33.9,41.2,8.1,4.0
苍兰诀,34779776,655581,41.4,33.6,17.8,3.5,3.7
两个人的小森林,35431984,60467,15.1,18.5,39.0,18.0,9.3
捉妖记2,26575103,354508,2.4,7.6,37.6,37.8,14.6
哦！我的皇帝陛下 第一季,27135558,121413,10.0,9.4,29.0,24.6,27.0
哦！我的皇帝陛下 第二季,34807445,57805,10.8,7.2,25.5,21.2,35.3
斗破苍穹,26882446,113116,8.0,8.1,20.2,22.3,41.5
陈情令,27195020,1689126,44.8,25.8,11.9,3.8,13.6
素人特工,27155276,38205,1.9,1.3,12.7,31.5,52.6
诛仙1,25779217,650593,9.5,8.0,19.1,23.8,39.6
庆余年 第一季,25853071,991793,31.0,43.7,18.8,3.3,3.2
满江红,35766491,850526,19.2,37.6,30.0,7.6,5.6
狼殿下,26743567,349973,27.0,17.8,16.3,9.8,29.2
斗罗大陆,30313969,838594,30.0,18.5,15.4,7.8,28.3
余生，请多指教,30403219,298995,9.6,20.0,40.3,18.5,11.6
有翡,27069428,365861,20.0,10.9,23.2,21.1,24.8
理想照耀中国,35209733,40019,40.5,32.0,22.8,3.7,1.0
风起洛阳,33442334,226519,10.1,24.5,43.0,16.7,5.7
冰雨火,34908108,164801,35.4,20.6,26.2,10.3,7.4
无名,35372742,591039,16.8,28.6,34.7,12.6,7.3
西游记女儿国,25829175,155458,3.7,7.2,24.4,36.5,28.2
延禧攻略,26999852,400528,15.7,40.1,33.6,6.1,4.4
解放·终局营救,30454698,11316,2.7,4.6,25.6,43.4,23.7
三生三世枕上书,26915522,342167,27.1,19.9,29.7,13.7,9.5
最动听的事,27663766,12031,5.0,15.7,54.7,20.8,3.8
烈火如歌,26703476,88240,17.9,13.9,30.8,19.1,18.3
解忧杂货店,26654146,191578,4.4,10.0,34.0,33.4,18.2
21克拉,26691361,70194,3.2,6.3,28.0,36.2,26.3
一千零一夜,27088995,106306,13.0,10.9,28.2,23.4,24.5
幸福，触手可及！,27073044,116659,8.3,8.6,30.9,30.7,21.5
你是我的荣耀,33454980,456506,15.8,32.5,36.2,10.4,5.1
与君初相识·恰似故人归,35235410,203829,7.9,14.7,42.3,23.0,12.1
天雷一部之春花秋月,30258233,38889,11.5,21.4,42.1,16.3,8.7
三千鸦杀,27611494,66990,7.3,9.3,40.8,28.9,13.7
传闻中的陈芊芊,34463197,358081,16.9,40.4,35.2,5.8,1.7
我，喜欢你,34908020,85407,9.9,26.4,46.9,13.2,3.6
长歌行,26926445,306557,11.3,19.7,37.9,19.4,11.7
一不小心捡到爱,35082299,20891,2.4,3.9,31.6,31.1,31.1
国子监来了个女弟子,35131244,49234,0.9,3.0,20.0,38.9,37.2
且试天下,26339609,129279,11.6,16.8,33.9,22.3,15.4
星汉灿烂·月升沧海,35452438,525793,30.8,34.3,25.0,6.0,3.8
胡同,35274947,20732,13.8,16.3,33.3,18.1,18.5
听见她说,35164015,33033,31.3,44.0,21.0,2.8,0.8
暴风眼,30476726,61686,5.2,15.5,43.6,22.4,13.4
斛珠夫人,26798457,122844,4.7,8.8,31.1,32.9,22.4
谢谢你医生,34454212,82261,19.6,20.5,30.6,15.0,14.4
你和我的倾城时光,26386688,64535,11.4,12.8,32.8,25.8,17.2
知否知否应是绿肥红瘦,26928226,502607,28.2,43.7,22.3,3.6,2.1
谁是凶手,35180907,203131,5.5,22.0,51.0,17.8,3.7
幸福到万家,34951002,243340,21.8,30.5,33.5,7.9,6.4
风吹半夏,35161592,352763,37.9,40.0,17.5,2.9,1.7
热血同行,27145093,73125,21.2,25.6,31.6,13.8,7.8
冷血狂宴,26673282,48068,3.4,4.7,18.3,27.0,46.6
送你一朵小红花,35096844,733839,14.6,40.6,36.3,6.8,1.6
中国医生,35087699,240474,16.1,31.4,36.2,11.9,4.4
长津湖,25845392,732466,24.0,32.9,32.2,8.7,2.1
奇迹·笨小孩,35312437,540795,17.0,43.4,32.8,4.9,1.8
长津湖之水门桥,35613853,344170,21.6,34.6,29.2,9.1,5.5
少年的你,30166972,1440381,33.9,46.6,16.1,2.1,1.3
世间有她,35187381,35057,4.5,11.4,37.2,32.4,14.5
