title,score_num,watched_num,comment_num,ratio
下一站是幸福,195545,179648,86061,0.440108414942852
少主且慢行 第一季,35865,37354,12150,0.3387703889585947
少主且慢行 第二季,24225,25865,6211,0.2563880288957688
刺杀小说家,638705,857645,266347,0.4170109831612403
月光变奏曲,100391,99976,42015,0.4185136117779482
苍兰诀,654762,619339,308054,0.4704824042934685
两个人的小森林,60429,57215,25849,0.4277581955683529
捉妖记2,354460,1060575,110656,0.3121819105117643
哦！我的皇帝陛下 第一季,121391,121971,42929,0.3536423622838596
哦！我的皇帝陛下 第二季,57794,58720,16713,0.2891822680555075
斗破苍穹,113098,108253,49957,0.4417142655042529
陈情令,1688942,1619878,837672,0.4959744029102242
素人特工,38205,67796,12741,0.3334903808402041
诛仙1,650583,805637,340745,0.5237533104922816
庆余年 第一季,991636,1037639,353494,0.3564755615971989
满江红,850254,905234,361853,0.425582237778358
狼殿下,349964,320638,191608,0.547507743653633
斗罗大陆,838525,765644,524330,0.6253003786410661
余生，请多指教,298866,272745,170984,0.5721092395923256
有翡,365830,331718,180999,0.4947625946477872
理想照耀中国,40006,38589,15193,0.3797680347947808
风起洛阳,226478,194415,103930,0.4588966698752196
无名,589662,608043,304517,0.5164263595076501
延禧攻略,400471,699720,141515,0.3533714051704118
西游记女儿国,155442,399231,59817,0.3848187748484965
解放·终局营救,11315,26936,4928,0.435528060097216
三生三世枕上书,342115,323205,153692,0.4492407523785861
最动听的事,12024,12718,3388,0.2817697937458416
烈火如歌,88236,84415,34225,0.387880230291491
解忧杂货店,191569,525711,62459,0.3260391817047643
21克拉,70182,194209,23244,0.3311960331708985
一千零一夜,106288,106109,39340,0.3701264488935721
幸福，触手可及！,116645,104695,42004,0.3601011616443054
你是我的荣耀,456378,429657,201591,0.4417193642112459
与君初相识·恰似故人归,203726,186760,114204,0.5605764605401372
天雷一部之春花秋月,38877,39025,13652,0.3511587828278931
三千鸦杀,66966,60981,27746,0.4143296598273751
传闻中的陈芊芊,357992,362603,142267,0.3974027352566537
我，喜欢你,85378,84434,32681,0.3827801072875916
长歌行,306447,282314,145693,0.4754264195766315
一不小心捡到爱,20883,20578,7873,0.3770052195565771
国子监来了个女弟子,49219,47804,23084,0.4690058717162071
且试天下,129234,121760,66900,0.5176656297878267
星汉灿烂·月升沧海,525489,489175,239582,0.4559220078821821
胡同,20721,19618,10044,0.4847256406544086
听见她说,33032,31450,12355,0.3740312424315815
暴风眼,61685,57993,32786,0.5315068493150685
斛珠夫人,122840,111826,64038,0.5213122761315533
谢谢你医生,82246,76137,41195,0.5008754225129489
你和我的倾城时光,64523,98088,25471,0.3947584582241991
知否知否应是绿肥红瘦,502344,600988,195688,0.3895497905817527
谁是凶手,203068,196168,83461,0.4110002560718577
风吹半夏,352554,313870,134860,0.382522961021574
热血同行,73121,67805,34587,0.4730104894626714
冷血狂宴,48066,78213,22188,0.4616152789913868
送你一朵小红花,733763,1075929,277699,0.3784587121454748
中国医生,240447,361464,94612,0.3934838030834238
长津湖,732356,961731,256784,0.350627290552682
少年的你,1440215,2622333,487115,0.3382238068621699
世间有她,35042,40546,19282,0.5502539809371612
