title,rating,score_num,comment_num,ratio,work_id
闻香识女人,9.1,861440,175756,0.204,1298624
天堂电影院,9.2,668531,142967,0.214,1291828
罗马假日,9.1,932104,173285,0.186,1293839
绿皮书,8.9,1609673,389298,0.242,27060077
死亡诗社,9.2,705308,168551,0.239,1291548
大闹天宫,9.4,425913,54155,0.127,1418019
指环王1：护戒使者,9.1,828684,125081,0.151,1291571
黑客帝国,9.1,821104,135712,0.165,1291843
教父2,9.3,539036,67581,0.125,1299131
狮子王,9.1,819749,104289,0.127,1301753
辩护人,9.2,579055,127827,0.221,21937445
饮食男女,9.2,607112,152724,0.252,1291818
美丽心灵,9.1,753911,141573,0.188,1306029
本杰明·巴顿奇事,9.0,963786,186927,0.194,1485260
穿条纹睡衣的男孩,9.2,550262,123448,0.224,3008247
窃听风暴,9.2,553406,130231,0.235,1900841
情书,8.9,1086282,287545,0.265,1292220
两杆大烟枪,9.1,584456,123150,0.211,1293350
西西里的美丽传说,8.9,955461,181934,0.19,1292402
音乐之声,9.1,588909,83136,0.141,1294408
看不见的客人,8.8,1230217,291616,0.237,26580232
阿凡达,8.8,1393927,268645,0.193,1652587
拯救大兵瑞恩,9.1,634127,86654,0.137,1292849
飞越疯人院,9.1,536955,110536,0.206,1292224
小鞋子,9.2,402419,89761,0.223,1303021
哈利·波特与死亡圣器(下),9.0,811049,141641,0.175,3011235
沉默的羔羊,8.9,868571,137814,0.159,1293544
禁闭岛,8.9,952669,175292,0.184,2334904
搏击俱乐部,9.0,829652,175585,0.212,1292000
布达佩斯大饭店,8.9,907168,218455,0.241,11525673
蝴蝶效应,8.9,917205,168538,0.184,1292343
致命魔术,8.9,839564,164210,0.196,1780330
海豚湾,9.3,352523,83124,0.236,3442220
功夫,8.8,1094164,134192,0.123,1291543
心灵捕手,8.9,693287,133579,0.193,1292656
美国往事,9.2,403594,89802,0.223,1292262
低俗小说,8.9,816178,162696,0.199,1291832
春光乍泄,9.0,619494,138866,0.224,1292679
哈利·波特与阿兹卡班的囚徒,8.9,706626,79539,0.113,1291544
摩登时代,9.3,293698,49247,0.168,1294371
超脱,9.0,578622,160868,0.278,5322596
喜剧之王,8.8,948390,144331,0.152,1302425
致命ID,8.9,803980,156865,0.195,1297192
七宗罪,8.8,926329,148285,0.16,1292223
杀人回忆,8.9,695105,142465,0.205,1300299
红辣椒,9.1,450420,117182,0.26,1865703
加勒比海盗,8.8,839654,93797,0.112,1298070
哈利·波特与密室,8.8,733929,74600,0.102,1296996
狩猎,9.1,380362,112125,0.295,6985810
被嫌弃的松子的一生,8.9,691518,195049,0.282,1787291
7号房的礼物,8.9,546108,121182,0.222,10777687
一一,9.1,380739,119323,0.313,1292434
唐伯虎点秋香,8.7,1054697,113670,0.108,1306249
请以你的名字呼唤我,8.9,705599,213182,0.302,26799731
断背山,8.8,695568,140219,0.202,1418834
剪刀手爱德华,8.7,1018765,166262,0.163,1292370
勇敢的心,8.9,551372,97354,0.177,1294639
入殓师,8.9,650885,145442,0.223,2149806
爱在黎明破晓前,8.8,664142,176929,0.266,1296339
第六感,8.9,544327,119328,0.219,1297630
重庆森林,8.8,792584,177910,0.224,1291999
蝙蝠侠：黑暗骑士崛起,8.8,704016,144599,0.205,3395373
幽灵公主,8.9,512634,80898,0.158,1297359
超能陆战队,8.7,990427,191911,0.194,11026735
菊次郎的夏天,8.9,582358,149798,0.257,1293359
爱在日落黄昏时,8.9,545273,132401,0.243,1291990
甜蜜蜜,8.9,535312,133126,0.249,1305164
天使爱美丽,8.7,944384,192486,0.204,1292215
阳光灿烂的日子,8.9,603006,114973,0.191,1291875
小森林 夏秋篇,9.0,417256,111067,0.266,25814705
完美的世界,9.1,307600,76912,0.25,1300992
借东西的小人阿莉埃蒂,8.9,540644,109117,0.202,4202302
无人知晓,9.1,311048,91960,0.296,1292337
消失的爱人,8.7,913729,239345,0.262,21318488
倩女幽魂,8.8,720698,109758,0.152,1297447
小森林 冬春篇,9.0,372613,88645,0.238,25814707
寄生虫,8.8,1341091,348896,0.26,27010768
侧耳倾听,8.9,452039,102696,0.227,1297052
时空恋旅人,8.8,647823,175386,0.271,10577869
幸福终点站,8.8,557066,103414,0.186,1292274
驯龙高手,8.8,741097,119919,0.162,2353023
教父3,9.0,364799,48727,0.134,1294240
萤火之森,8.9,525216,115529,0.22,5989818
一个叫欧维的男人决定去死,8.9,464942,128416,0.276,26628357
未麻的部屋,9.1,321893,85261,0.265,1395091
怪兽电力公司,8.8,654206,84529,0.129,1291579
哈利·波特与火焰杯,8.8,640081,66527,0.104,1309055
玩具总动员3,8.9,502879,87370,0.174,1858711
傲慢与偏见,8.7,778798,169613,0.218,1418200
釜山行,8.6,1173825,260743,0.222,25986180
神偷奶爸,8.7,930014,136335,0.147,3287562
玛丽和马克思,9.0,416313,115195,0.277,3072124
新世界,8.9,419075,100289,0.239,10437779
被解救的姜戈,8.8,595949,136179,0.229,6307447
告白,8.8,661145,181830,0.275,4268598
大鱼,8.8,558748,123554,0.221,1291545
哪吒闹海,9.2,252986,34831,0.138,1307315
射雕英雄传之东成西就,8.7,623285,112463,0.18,1316510
阳光姐妹淘,8.8,582417,143667,0.247,4917726
头号玩家,8.7,1341640,340200,0.254,4920389
喜宴,9.0,352577,87742,0.249,1303037
我是山姆,9.0,331065,75007,0.227,1306861
模仿游戏,8.8,633215,142674,0.225,10463953
恐怖直播,8.7,639428,142368,0.223,21360417
血战钢锯岭,8.7,769951,180294,0.234,26325320
花样年华,8.7,592046,131662,0.222,1291557
九品芝麻官,8.7,657608,66977,0.102,1297518
七武士,9.3,193062,45762,0.237,1295399
茶馆,9.5,135604,38391,0.283,1461403
头脑特工队,8.8,596478,141227,0.237,10533913
色，戒,8.6,778822,148273,0.19,1828115
黑客帝国3：矩阵革命,8.8,438061,49801,0.114,1302467
惊魂记,9.0,283945,71640,0.252,1293181
电锯惊魂,8.8,519853,93682,0.18,1417598
三块广告牌,8.7,805500,200914,0.249,26611804
达拉斯买家俱乐部,8.8,443811,94802,0.214,1793929
疯狂原始人,8.7,822920,164555,0.2,1907966
心迷宫,8.7,507982,135150,0.266,25917973
卢旺达饭店,8.9,322845,61659,0.191,1291822
上帝之城,9.0,296321,58636,0.198,1292208
谍影重重3,8.8,409396,56756,0.139,1578507
英雄本色,8.6,527068,83351,0.158,1297574
纵横四海,8.8,415310,78501,0.189,1295409
你的名字。,8.5,1376017,333133,0.242,26683290
风之谷,8.9,348057,53766,0.154,1291585
海街日记,8.8,437180,136994,0.313,25895901
爱在午夜降临前,8.9,390304,109126,0.28,10808442
绿里奇迹,8.9,321256,59949,0.187,1300374
记忆碎片,8.7,589386,122813,0.208,1304447
岁月神偷,8.7,566655,136889,0.242,3792799
忠犬八公物语,9.2,190982,34723,0.182,1959195
荒蛮故事,8.8,434380,119341,0.275,24750126
