words,times
意大利,302
全是,301
世间,301
高中,301
奇妙,300
遗忘,300
抓,299
相爱,299
理性,299
菊,299
赫敏,299
微笑,298
号,298
罪恶,297
巧合,296
伤感,296
略显,296
一丝,296
小镇,295
打开,295
复仇,295
回去,295
太空,295
心疼,294
线索,294
溥仪,294
画风,293
一份,293
光明,293
走出,293
烂,293
歌,293
解决,292
坐,292
层面,292
光影,292
监狱,291
形容,291
年龄,291
长镜头,291
不愧,291
解读,291
冷漠,290
久石,290
权力,289
德国,289
核心,289
学,289
几部,289
It,288
告别,288
姐姐,288
帮,288
一代,288
饱满,288
律师,288
优雅,288
丝毫,288
第二遍,287
作用,287
片儿,286
干,286
意味,286
主线,285
火车,285
北野武,285
好笑,284
布里克,284
热爱,284
一对,284
象征,284
重映,283
电脑,283
美妙,283
往事,282
丈夫,282
剧透,282
干净,282
玩具,282
鬼,282
便是,281
对抗,281
山姆,280
good,280
行,280
恨,280
短暂,280
延续,280
认同,279
利益,279
低,279
区别,278
暖,278
愿,277
西方,277
尴尬,277
建立,277
3.5,277
魔戒,276
最初,276
记录,276
硬,276
真挚,275
国产,275
大卫,275
门,275
龙猫,275
模糊,275
说出,274
哈尔,274
日常,274
总体,274
家里,273
生死,273
羡慕,273
不幸,273
基因,273
创作,273
没看,273
交代,273
子弹,272
懦弱,272
恐怖片,272
信念,272
弄,272
特写,272
达蒙,272
见到,272
气息,271
气,271
追寻,271
制度,271
谢谢,270
不让,270
杀死,270
圆满,270
蝙蝠侠,270
级,270
个体,270
承受,270
movie,269
还会,269
配,269
活在,269
man,268
拒绝,268
过度,268
缺点,268
严肃,267
大陆,267
试图,267
屠杀,267
宿命,267
给予,267
陪伴,267
彩蛋,267
钢琴,266
真诚,266
无力,266
票房,266
转折,266
疯,265
明天,265
汤姆,265
小学,265
代入,265
芬奇,264
貌似,264
尊严,264
习惯,264
第二次,264
飞机,264
沒,264
太太,263
IMAX,263
是从,263
秘密,262
浪费,262
bug,262
慢,261
信,261
无感,261
官场,261
莫名,261
歌舞片,261
无敌,261
暗恋,261
最爱,260
库,260
进步,260
妥协,260
背叛,260
悬疑片,260
白人,260
后悔,260
汗,260
没法,260
政府,260
第一个,260
泪流满面,259
天赋,259
落泪,259
翻译,259
个性,259
发挥,259
卻,258
生硬,258
一家,258
送,258
婚礼,257
距离,257
汤,256
蒙太奇,256
world,256
菜,256
初中,256
方法,255
王,255
重逢,255
深,255
实际上,255
说实话,254
作者,254
画,254
糟糕,254
奔跑,254
大爱,254
m,253
淋漓尽致,253
人设,253
权利,253
推进,252
近乎,252
特色,252
•,252
1900,252
大战,251
人格分裂,251
船长,251
轮回,251
尝试,250
梦幻,250
一流,249
灾难,249
描绘,248
吴镇宇,248
一贯,248
默默,248
奶奶,248
女生,248
英语,248
思维,247
胜利,247
分析,247
心底,247
精准,247
两次,246
科技,246
刷,246
杀戮,246
歧视,246
扭曲,246
骗,246
人才,245
睡,245
尾,245
难忘,245
质感,245
4.5,244
忽略,244
女神,244
主,244
淡淡的,244
打破,244
教科书,244
格局,244
说教,243
漫长,243
我爱你,243
稍微,243
水,242
破坏,242
怀旧,242
事物,241
支持,241
汉克斯,241
弱,241
一个个,241
刚刚,241
一秒,241
装,241
痕迹,241
阴影,240
革命,240
缺少,240
无关,240
对不起,240
會,240
动作片,240
科学,240
标记,240
度,240
期望,240
艰难,239
构图,239
兴趣,239
突兀,238
微妙,238
爱德华,238
关怀,237
生动,237
嫉妒,237
天真,237
力,237
非洲,237
最为,237
基础,237
大白,237
动画电影,237
马特,236
平衡,236
动漫,236
同性恋,236
话题,236
笑容,235
医生,235
忧伤,235
美版,235
幼稚,235
美女,235
枪,235
基调,234
光芒,234
一出,234
喜歡,234
屏幕,234
同情,233
隔,233
.....,233
斗争,233
总能,233
中年,232
错误,232
如果说,232
主人,231
遭遇,231
系,231
发哥,231
钻石,231
屌,231
选,231
贯穿,231
喜爱,231
眼中,230
出生,230
级别,230
诞生,230
无情,230
次郎,230
帅气,230
受不了,230
光辉,229
歌曲,229
冲动,229
跳舞,229
亲人,229
暧昧,229
探索,229
抓住,229
贪婪,229
海报,229
地狱,228
苏菲,228
time,228
渣,228
永不,227
饰演,227
赋予,227
S,227
喜剧片,227
吹,226
血,226
一如既往,226
父爱,226
P,226
工整,226
上海,226
http,225
立意,225
庆幸,225
三观,225
天朝,225
补,225
名,225
不愿,225
一切都是,224
图灵,224
相,224
心碎,224
声,224
突破,224
来到,224
得以,224
江湖,224
就让,224
深沉,223
事儿,223
粗糙,223
多余,223
父子,223
旅行,223
热泪盈眶,223
方向,223
缓慢,222
乱,222
隐藏,222
don,222
战争片,222
穷人,222
大众,222
终结,222
仇恨,222
片头,222
派,221
眼前,221
纯洁,221
逃避,221
无可挑剔,221
丰满,221
杰作,220
目标,220
有点像,220
二十年,220
丧尸,220
掩盖,220
陷入,220
这份,220
着实,220
爽,220
特工,220
配合,220
世俗,219
阿尔,219
哈哈哈哈,219
很赞,219
过分,219
吴宇森,219
一次次,219
正太,219
紫霞,219
信任,219
赢,219
追,218
王佳芝,218
合适,218
伴随,218
标签,218
手段,218
神秘,218
太帅,218
折磨,218
崩溃,218
性感,218
眼光,218
苦,218
分手,217
乐队,217
新意,217
衣服,217
囧,217
深情,217
无辜,217
型,216
放下,216
房子,216
口味,216
放大,216
旅程,215
黎明,215
琐碎,215
费雯丽,215
藏,215
指环王,215
富人,215
理论,215
